"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","F","p.value","ndf","ddf","name"
"msni",NA,"1",NA,0.110222527993482,NA,0.0709376128965966,0.149507443090367,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"2",NA,0.764764029041972,NA,0.733551194216195,0.795976863867749,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"3",NA,0.12189707150327,NA,0.100206446321432,0.143587696685107,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"4",NA,0.00311637146127691,NA,0.000221041347275647,0.00601170157527817,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"pev_score",NA,"1",NA,0.0530241190938686,NA,0.0320883863718828,0.0739598518158544,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"pev_score",NA,"2",NA,0.722580292465294,NA,0.690694849519767,0.754465735410821,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"pev_score",NA,"3",NA,0.224395588440838,NA,0.196127520445289,0.252663656436386,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"hhh_score",NA,"1",NA,0.280007474154613,NA,0.252165477474918,0.307849470834309,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"hhh_score",NA,"2",NA,0.578873381338573,NA,0.53903455686317,0.618712205813976,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"hhh_score",NA,"3",NA,0.0602054880097546,NA,0.0468739935536183,0.073536982465891,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"hhh_score",NA,"4",NA,0.0710481635181981,NA,0.05917305604167,0.0829232709947262,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"hhh_score",NA,"5",NA,0.00408975521769193,NA,0.00228346262438791,0.00589604781099594,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"hhh_score",NA,"6",NA,0.00493093057183388,NA,0.00279717581292199,0.00706468533074575,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"hhh_score",NA,"7",NA,0.000475640943551699,NA,-8.37509322649438e-05,0.00103503281936834,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"hhh_score",NA,"8",NA,0.000369166245782939,NA,-0.000189769026700198,0.000928101518266076,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"primary_income_earner_score",NA,"1",NA,0.592627518243256,NA,0.571706742222846,0.613548294263667,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"primary_income_earner_score",NA,"2",NA,0.284624944871079,NA,0.266409549402582,0.302840340339576,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"primary_income_earner_score",NA,"3",NA,0.0716123379995137,NA,0.0592153217295097,0.0840093542695178,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"primary_income_earner_score",NA,"4",NA,0.0415926534718044,NA,0.0341455717588754,0.0490397351847334,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"primary_income_earner_score",NA,"5",NA,0.00648322500713297,NA,0.00312714655980135,0.00983930345446458,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"primary_income_earner_score",NA,"6",NA,0.00142029986999331,NA,0.000289189033854769,0.00255141070613186,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"primary_income_earner_score",NA,"7",NA,0.000697618781823778,NA,0.000147838084681934,0.00124739947896562,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"primary_income_earner_score",NA,"8",NA,0.000941401755396995,NA,-6.26887634112684e-05,0.00194549227420526,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"vulnerable_members_score",NA,"1",NA,0.611055127694858,NA,0.584991008425362,0.637119246964354,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"vulnerable_members_score",NA,"2",NA,0.0215423085275302,NA,0.013991436553071,0.0290931805019893,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"vulnerable_members_score",NA,"3",NA,0.251107820874299,NA,0.22852507621503,0.273690565533567,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"vulnerable_members_score",NA,"4",NA,0.0488439817391391,NA,0.0396300904307547,0.0580578730475235,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"vulnerable_members_score",NA,"5",NA,0.0215471621827047,NA,0.0154237456492651,0.0276705787161442,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"vulnerable_members_score",NA,"6",NA,0.00638859838774556,NA,0.00384893157914323,0.00892826519634789,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"vulnerable_members_score",NA,"7",NA,0.0201141415374394,NA,0.0136088576755479,0.0266194253993309,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"vulnerable_members_score",NA,"8",NA,0.0194008590562845,NA,0.0110115633838151,0.027790154728754,NA,NA,NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
